Corruption Perceptions Index 2017: Global Scores ,,,,,,,,
,,,,,,,,
Country,ISO3,Region,CPI Score 2017,Rank ,standard error,Lower CI ,Upper CI,number of sources
New Zealand,NZL,AP,89,1,2.4,85,93,8
Denmark,DNK,WE/EU,88,2,2.75,83,93,8
Finland,FIN,WE/EU,85,3,2.84,80,90,8
Norway,NOR,WE/EU,85,3,1.83,82,88,8
Switzerland,CHE,WE/EU,85,3,1.71,82,88,7
Singapore,SGP,AP,84,6,2.26,80,88,9
Sweden,SWE,WE/EU,84,6,2.27,80,88,8
Canada,CAN,AME,82,8,1.49,80,84,8
Luxembourg,LUX,WE/EU,82,8,2.08,79,85,6
Netherlands,NLD,WE/EU,82,8,2.23,78,86,8
United Kingdom,GBR,WE/EU,82,8,1.7,79,85,8
Germany,DEU,WE/EU,81,12,1.87,78,84,8
Australia,AUS,AP,77,13,1.4,75,79,9
Hong Kong,HKG,AP,77,13,2.37,73,81,7
Iceland,ISL,WE/EU,77,13,4.38,70,84,7
Austria,AUT,WE/EU,75,16,1.17,73,77,8
Belgium,BEL,WE/EU,75,16,1.63,72,78,8
United States of America,USA,AME,75,16,3.24,70,80,9
Ireland,IRL,WE/EU,74,19,3.68,68,80,7
Japan,JPN,AP,73,20,2.66,69,77,9
Estonia,EST,WE/EU,71,21,2.21,67,75,10
United Arab Emirates,ARE,MENA,71,21,6.26,61,81,7
France,FRA,WE/EU,70,23,1.36,68,72,8
Uruguay,URY,AME,70,23,2.67,66,74,7
Barbados,BRB,AME,68,25,3.24,63,73,3
Bhutan,BTN,AP,67,26,1.83,64,70,5
Chile,CHL,AME,67,26,2.03,64,70,9
Bahamas,BHS,AME,65,28,5.39,56,74,3
Portugal,PRT,WE/EU,63,29,2.56,59,67,8
Qatar,QAT,MENA,63,29,7.5,51,75,7
Taiwan,TWN,AP,63,29,3.28,58,68,8
Brunei Darussalam,BRN,AP,62,32,8.72,48,76,3
Israel,ISR,MENA,62,32,2.19,58,66,7
Botswana,BWA,SSA,61,34,2.74,57,65,7
Slovenia,SVN,WE/EU,61,34,2.78,56,66,10
Poland,POL,WE/EU,60,36,1.36,58,62,10
Seychelles,SYC,SSA,60,36,8.32,46,74,4
Costa Rica,CRI,AME,59,38,2.98,54,64,7
Lithuania,LTU,WE/EU,59,38,2.21,55,63,9
Latvia,LVA,WE/EU,58,40,3.21,53,63,9
Saint Vincent and the Grenadines,VCT,AME,58,40,3.39,52,64,3
Cyprus,CYP,WE/EU,57,42,3.78,51,63,7
Czech Republic,CZE,WE/EU,57,42,1.98,54,60,10
Dominica,DMA,AME,57,42,2.55,53,61,3
Spain,ESP,WE/EU,57,42,3.78,51,63,8
Georgia,GEO,ECA,56,46,3.1,51,61,6
Malta,MLT,WE/EU,56,46,1.18,54,58,5
Cabo Verde,CPV,SSA,55,48,4.19,48,62,4
Rwanda,RWA,SSA,55,48,6,45,65,6
Saint Lucia,LCA,AME,55,48,4.27,48,62,3
"Korea, South",KOR,AP,54,51,2.24,50,58,10
Grenada,GRD,AME,52,52,3,47,57,3
Namibia,NAM,SSA,51,53,3.22,46,56,6
Italy,ITA,WE/EU,50,54,3.72,44,56,8
Mauritius,MUS,SSA,50,54,4.41,43,57,5
Slovakia,SVK,WE/EU,50,54,3.32,45,55,9
Croatia,HRV,WE/EU,49,57,2.64,45,53,10
Saudi Arabia,SAU,MENA,49,57,6.14,39,59,7
