,Headlines,Snippets,Year,Country
0,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
1,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
2,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
3,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
4,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
5,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
6,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
7,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
8,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
9,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
10,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
11,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
12,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
13,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
14,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
15,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
16,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
17,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
18,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
19,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
20,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
21,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
22,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
23,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
24,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
25,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
26,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
27,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
28,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
29,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
30,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
31,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
32,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
33,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
34,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
35,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
36,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
37,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
38,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
39,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
40,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
41,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
42,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
43,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
44,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
45,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
46,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
47,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
48,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
49,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
50,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
51,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
52,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
53,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
54,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
55,Something Is Unspoken in the State of Denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,2017,Denmark
56,"Birth Control Pills Still Linked to Breast Cancer, Study Finds","Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",2017,Denmark
57,"In Denmark, Passage of Rules on Immigration Called for Cake","Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",2017,Denmark
58,Denmark Says ‘Key Elements’ of Russian Government Hacked Defense Ministry,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,2017,Denmark
59,"Old, Ill and Ordered Deported From Denmark to Afghanistan","A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",2017,Denmark
60,"36 Hours in Aarhus, Denmark","This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",2017,Denmark
61,Crown Prince of Denmark Turned Away From Australian Bar for Lack of ID,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,2017,Denmark
62,Hamlet and the Surveillance State of Denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,2017,Denmark
63,"In Denmark, Lego House Is the New Kid on the Block","The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",2017,Denmark
64,Denmark’s Prince Henrik Wanted to Be King. So He’ll Protest for Eternity.,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",2017,Denmark
