,Country,Snippets,class
0,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
1,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
2,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
3,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
4,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
5,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
6,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
7,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
8,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
9,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
10,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
11,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
12,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
13,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
14,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
15,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
16,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
17,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
18,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
19,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
20,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
21,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
22,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
23,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
24,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
25,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
26,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
27,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
28,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
29,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
30,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
31,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
32,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
33,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
34,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
35,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
36,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
37,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
38,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
39,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
40,benin,"Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",unhappy
41,benin,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",unhappy
42,benin,The horrors of a refugee crisis that the world feels free to ignore.,unhappy
43,benin,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",unhappy
44,benin,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,unhappy
45,benin,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,unhappy
46,benin,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",unhappy
47,benin,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",unhappy
48,benin,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",unhappy
49,benin,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",unhappy
0,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
1,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
2,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
3,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
4,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
5,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
6,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
7,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
8,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
9,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
10,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
11,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
12,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
13,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
14,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
15,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
16,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
17,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
18,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
19,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
20,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
21,brazil,This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,happy
22,brazil,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,happy
23,brazil,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,happy
24,brazil,"Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",happy
25,brazil,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",happy
26,brazil,"The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",happy
27,brazil,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",happy
28,brazil,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",happy
29,brazil,"This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",happy
30,brazil,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,happy
