,Headlines,Snippets,Year,Country,class
0,Iceland’s Government Falls After Letter Asking to Pardon Pedophile,The prime minister was accused of attempting to cover up a recommendation from his father supporting clemency for a convicted child abuser.,2017,iceland,happy
1,Can You Find Iceland on a Map?,"What else do you know about Iceland’s geography, history and culture? Take our quiz to learn more.",2017,iceland,happy
2,Vikings Razed the Forests. Can Iceland Regrow Them?,"The country lost most of its trees long ago. Despite years of replanting, it isn’t making much progress.",2017,iceland,happy
3,Iceland’s Independence Party Retains Most Seats After Election,"But the conservative party, led by Prime Minister Bjarni Benediktsson, emerged somewhat weakened, losing five seats.",2017,iceland,happy
4,"Iceland Goes to Polls Amid Scandals, Disgust and Distrust","As Iceland votes in parliamentary elections on Saturday, a disgraced former prime minister is among those competing to govern.",2017,iceland,happy
5,Iceland Becomes Smallest Nation to Qualify for World Cup,"Iceland made a stunning run at the 2016 European Championships, then followed it up on Monday by clinching a berth in the Cup finals in Russia next year.",2017,iceland,happy
6,"Deadly Deeds, From Snowy Iceland to the 42nd Street Library","New crime novels by Barclay, Indridason and Lehane take readers from New York to Reykjavik. Then Goldstone goes back in time for a medical mystery.",2017,iceland,happy
7,American Companies Still Make Aluminum. In Iceland.,The Trump administration blames China for the decline of aluminum production in the U.S. But where has it really gone?,2017,iceland,happy
8,Review: ‘I Remember You’ Is a Piercing Horror Film From Iceland,The director Oskar Thor Axelsson prefers mood and compelling human conflict over copious gore to deliver chills. The result is effective.,2017,iceland,happy
9,Cool Cruises Around Iceland,"Glaciers, fjords, wildlife, lava and Reykjavik are on the itineraries this summer.",2017,iceland,happy
10,Iceland’s Government Falls After Letter Asking to Pardon Pedophile,The prime minister was accused of attempting to cover up a recommendation from his father supporting clemency for a convicted child abuser.,2017,iceland,happy
11,Can You Find Iceland on a Map?,"What else do you know about Iceland’s geography, history and culture? Take our quiz to learn more.",2017,iceland,happy
12,Vikings Razed the Forests. Can Iceland Regrow Them?,"The country lost most of its trees long ago. Despite years of replanting, it isn’t making much progress.",2017,iceland,happy
