,Headlines,Snippets,Year,Country
0,"Stephanie Oduro, Franck Chintoya","Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",2017,benin
1,Emmanuel Macron Says Return of African Artifacts Is a Top Priority,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",2017,benin
2,Two Dozen African Girls Dead at Sea,The horrors of a refugee crisis that the world feels free to ignore.,2017,benin
3,Lost in Translation? Pope Ponders an Update to Lord’s Prayer,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",2017,benin
4,Join The New ‘At War’ Community,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,2017,benin
5,Togo Rallies for Change After 50 Years of Rule by One Family,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,2017,benin
6,Help Us Find Off-Beat Communities,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",2017,benin
7,Did the World Get Aung San Suu Kyi Wrong?,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",2017,benin
8,State Dept. Voices Concern for American Held in Republic of Congo,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",2017,benin
9,Writing the Script for Your Next Act,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",2017,benin
10,"Stephanie Oduro, Franck Chintoya","Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",2017,benin
11,Emmanuel Macron Says Return of African Artifacts Is a Top Priority,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",2017,benin
12,Two Dozen African Girls Dead at Sea,The horrors of a refugee crisis that the world feels free to ignore.,2017,benin
13,Lost in Translation? Pope Ponders an Update to Lord’s Prayer,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",2017,benin
14,Join The New ‘At War’ Community,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,2017,benin
15,Togo Rallies for Change After 50 Years of Rule by One Family,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,2017,benin
16,Help Us Find Off-Beat Communities,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",2017,benin
17,Did the World Get Aung San Suu Kyi Wrong?,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",2017,benin
18,State Dept. Voices Concern for American Held in Republic of Congo,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",2017,benin
19,Writing the Script for Your Next Act,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",2017,benin
20,"Stephanie Oduro, Franck Chintoya","Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",2017,benin
21,Emmanuel Macron Says Return of African Artifacts Is a Top Priority,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",2017,benin
22,Two Dozen African Girls Dead at Sea,The horrors of a refugee crisis that the world feels free to ignore.,2017,benin
23,Lost in Translation? Pope Ponders an Update to Lord’s Prayer,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",2017,benin
24,Join The New ‘At War’ Community,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,2017,benin
25,Togo Rallies for Change After 50 Years of Rule by One Family,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,2017,benin
26,Help Us Find Off-Beat Communities,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",2017,benin
27,Did the World Get Aung San Suu Kyi Wrong?,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",2017,benin
28,State Dept. Voices Concern for American Held in Republic of Congo,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",2017,benin
29,Writing the Script for Your Next Act,"Some are hanging on to what they loved about their day job, while trying something new, different and perhaps adventurous.",2017,benin
30,"Stephanie Oduro, Franck Chintoya","Stephanie Oduro and Franck Chintoya, who met at Columbia Law School in 2010, were married Nov. 25 in West Orange, N.J.",2017,benin
31,Emmanuel Macron Says Return of African Artifacts Is a Top Priority,"Speaking in Burkina Faso, the French president set out a commitment to return objects of African origin in the next five years.",2017,benin
32,Two Dozen African Girls Dead at Sea,The horrors of a refugee crisis that the world feels free to ignore.,2017,benin
33,Lost in Translation? Pope Ponders an Update to Lord’s Prayer,"“Lead us not into temptation” is not quite right, Francis said. “Do not let us fall into temptation” might be more precise.",2017,benin
34,Join The New ‘At War’ Community,At War existed as a New York Times blog from 2009 to 2016. Stay informed about our re-launch and tell us what we should cover.,2017,benin
35,Togo Rallies for Change After 50 Years of Rule by One Family,Protests calling for the resignation of President Faure Gnassingbé have drawn thousands and the demonstrations are increasingly turning deadly.,2017,benin
36,Help Us Find Off-Beat Communities,"If you are a part of a community like this, online or in real life, post a photo and share some details with us.",2017,benin
37,Did the World Get Aung San Suu Kyi Wrong?,"There were warning signs. But people typically see what they want to see, and never more so perhaps than when they are in search of a hero.",2017,benin
38,State Dept. Voices Concern for American Held in Republic of Congo,"The naturalized citizen, Marcel Pika, moved back to his home country in 2007 and was detained in the wake of unrest after an election in 2016.",2017,benin
