,Headlines,Snippets,Year,Country
0,A Review of Year-End Reviews: The Canada Letter,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,2017,brazil
1,"Putting Australia in Its Place, Vanishing Ice: Canada Today",This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,2017,brazil
2,The Land of Apology and a Return to Montreal: The Canada Letter,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,2017,brazil
3,The Halifax Explosion and Au Revoir to Hi: The Canada Letter,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,2017,brazil
4,"A Return to Haiti, and Broadway via Edmonton: The Canada Letter","Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",2017,brazil
5,Public Health Care and Defining Canada: Readers Speak Out in the Canada Letter,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",2017,brazil
6,"Bernie Sanders, Health Care and Hydro: The Canada Letter","The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",2017,brazil
7,Canada Letter: Catalonia Is a Reminder of Not Just Quebec,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",2017,brazil
8,Canada Letter: The End of a Ritual and a Daring Hostage Rescue,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",2017,brazil
9,"Pot Advertising, Leonard Cohen and Chimps: The Canada Letter","This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",2017,brazil
10,A Review of Year-End Reviews: The Canada Letter,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,2017,brazil
11,"Putting Australia in Its Place, Vanishing Ice: Canada Today",This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,2017,brazil
12,The Land of Apology and a Return to Montreal: The Canada Letter,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,2017,brazil
13,The Halifax Explosion and Au Revoir to Hi: The Canada Letter,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,2017,brazil
14,"A Return to Haiti, and Broadway via Edmonton: The Canada Letter","Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",2017,brazil
15,Public Health Care and Defining Canada: Readers Speak Out in the Canada Letter,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",2017,brazil
16,"Bernie Sanders, Health Care and Hydro: The Canada Letter","The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",2017,brazil
17,Canada Letter: Catalonia Is a Reminder of Not Just Quebec,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",2017,brazil
18,Canada Letter: The End of a Ritual and a Daring Hostage Rescue,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",2017,brazil
19,"Pot Advertising, Leonard Cohen and Chimps: The Canada Letter","This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",2017,brazil
20,A Review of Year-End Reviews: The Canada Letter,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,2017,brazil
21,"Putting Australia in Its Place, Vanishing Ice: Canada Today",This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,2017,brazil
22,The Land of Apology and a Return to Montreal: The Canada Letter,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,2017,brazil
23,The Halifax Explosion and Au Revoir to Hi: The Canada Letter,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,2017,brazil
24,"A Return to Haiti, and Broadway via Edmonton: The Canada Letter","Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",2017,brazil
25,Public Health Care and Defining Canada: Readers Speak Out in the Canada Letter,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",2017,brazil
26,"Bernie Sanders, Health Care and Hydro: The Canada Letter","The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",2017,brazil
27,Canada Letter: Catalonia Is a Reminder of Not Just Quebec,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",2017,brazil
28,Canada Letter: The End of a Ritual and a Daring Hostage Rescue,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",2017,brazil
29,"Pot Advertising, Leonard Cohen and Chimps: The Canada Letter","This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",2017,brazil
30,A Review of Year-End Reviews: The Canada Letter,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,2017,brazil
31,"Putting Australia in Its Place, Vanishing Ice: Canada Today",This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,2017,brazil
32,The Land of Apology and a Return to Montreal: The Canada Letter,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,2017,brazil
33,The Halifax Explosion and Au Revoir to Hi: The Canada Letter,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,2017,brazil
34,"A Return to Haiti, and Broadway via Edmonton: The Canada Letter","Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",2017,brazil
35,Public Health Care and Defining Canada: Readers Speak Out in the Canada Letter,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",2017,brazil
36,"Bernie Sanders, Health Care and Hydro: The Canada Letter","The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",2017,brazil
37,Canada Letter: Catalonia Is a Reminder of Not Just Quebec,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",2017,brazil
38,Canada Letter: The End of a Ritual and a Daring Hostage Rescue,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",2017,brazil
39,"Pot Advertising, Leonard Cohen and Chimps: The Canada Letter","This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",2017,brazil
40,A Review of Year-End Reviews: The Canada Letter,This week’s newsletter about Canada and for Canadians picks highlights from The Times’s year-end reviews and lists.,2017,brazil
41,"Putting Australia in Its Place, Vanishing Ice: Canada Today",This week’s Canada Letter asks Canadian readers to take on their Australian counterparts in a challenge.,2017,brazil
42,The Land of Apology and a Return to Montreal: The Canada Letter,This week’s newsletter about Canada and for Canadians looks into Canadians’ tendency to say sorry and welcomes an expat home.,2017,brazil
43,The Halifax Explosion and Au Revoir to Hi: The Canada Letter,This week’s Canada Letter looks at a film about the deaf community in Halifax when the city was hit by a massive explosion a century ago,2017,brazil
44,"A Return to Haiti, and Broadway via Edmonton: The Canada Letter","Our Toronto bureau chief talks about her searing experiences in Haiti, and Broadway producers find a congenial tryout spot in Edmonton.",2017,brazil
45,Public Health Care and Defining Canada: Readers Speak Out in the Canada Letter,"In this week’s newsletter for about Canadians, our readers offer their thoughts on how the public health care system has come to define the country.",2017,brazil
46,"Bernie Sanders, Health Care and Hydro: The Canada Letter","The Canada Letter, the newsletter for and about Canadians, looks at Bernie Sanders on Canada’s health system, and a blow to a British Columbia megaproject.",2017,brazil
47,Canada Letter: Catalonia Is a Reminder of Not Just Quebec,"This week’s Canada Letter looks at the pension shortfall at Sears Canada and, with Catalonia in the news, contemplates separation anxiety at home.",2017,brazil
48,Canada Letter: The End of a Ritual and a Daring Hostage Rescue,"This week’s letter looks at the death of Sears and, with it, the end of mail-order catalog shopping. We also look at the dramatic rescue of a Canadian-American family.",2017,brazil
49,"Pot Advertising, Leonard Cohen and Chimps: The Canada Letter","This week’s Canada Letter looks at the battle over ads for legal marijuana, a tribute to Leonard Cohen a year after his death, and Canadian filmmakers in North Korea.",2017,brazil
