,Headlines,Snippets,Year,Country
0,Genocide Survivors Compose a Requiem for Cambodia,"“Bangsokol,” one of the first symphonic works to reckon with the Khmer Rouge era, has its New York premiere on Friday.",2017,cambodia
1,What the Latest Crackdown in Cambodia Means,The Hun Sen government no longer even pretends to tolerate a political opposition.,2017,cambodia
2,Was It Legal for the U.S. to Bomb Cambodia?,"Nixon said yes, and his decision has warped American foreign policy ever since.",2017,cambodia
3,"Broadening Crackdown, Cambodia Moves to Disband Main Opposition Party","The crackdown comes after the government arrested the party’s leader, Kem Sokha, and moved against the country’s independent media.",2017,cambodia
4,The Cambodia Daily to Close (After Chasing One Last Big Story),The government says The Daily owes a tax bill of $6.3 million and must pay up or “pack up and go.” Its last print issue will be published on Monday.,2017,cambodia
5,"Cambodia Arrests Opposition Leader, Accusing Him of Treason",A rights advocate called Kem Sokha’s arrest a “disastrous setback” for human rights in Cambodia as Prime Minister Hun Sen consolidates power.,2017,cambodia
6,Cambodia Charges Opposition Leader Kem Sokha With Treason,"The move comes amid a wider crackdown on dissent ahead of parliamentary elections next year, with a particular focus on groups linked to Washington.",2017,cambodia
7,Heng on Opposition and Democracy in Cambodia,Hun Sen’s government continues to accuse the opposition of colluding with the United States.,2017,cambodia
8,Cambodia Orders Expulsion of Foreign Staff Members With American Nonprofit,"The crackdown comes as Cambodia’s long-serving leader, Hun Sen, tries to solidify his grip on power before elections next year.",2017,cambodia
9,"New Yoga Trips, From Cambodia to Colorado","Sessions will feature hiking, horsemanship and meditation.",2017,cambodia
10,Genocide Survivors Compose a Requiem for Cambodia,"“Bangsokol,” one of the first symphonic works to reckon with the Khmer Rouge era, has its New York premiere on Friday.",2017,cambodia
11,What the Latest Crackdown in Cambodia Means,The Hun Sen government no longer even pretends to tolerate a political opposition.,2017,cambodia
12,Was It Legal for the U.S. to Bomb Cambodia?,"Nixon said yes, and his decision has warped American foreign policy ever since.",2017,cambodia
13,"Broadening Crackdown, Cambodia Moves to Disband Main Opposition Party","The crackdown comes after the government arrested the party’s leader, Kem Sokha, and moved against the country’s independent media.",2017,cambodia
14,The Cambodia Daily to Close (After Chasing One Last Big Story),The government says The Daily owes a tax bill of $6.3 million and must pay up or “pack up and go.” Its last print issue will be published on Monday.,2017,cambodia
15,"Cambodia Arrests Opposition Leader, Accusing Him of Treason",A rights advocate called Kem Sokha’s arrest a “disastrous setback” for human rights in Cambodia as Prime Minister Hun Sen consolidates power.,2017,cambodia
16,Cambodia Charges Opposition Leader Kem Sokha With Treason,"The move comes amid a wider crackdown on dissent ahead of parliamentary elections next year, with a particular focus on groups linked to Washington.",2017,cambodia
17,Heng on Opposition and Democracy in Cambodia,Hun Sen’s government continues to accuse the opposition of colluding with the United States.,2017,cambodia
18,Cambodia Orders Expulsion of Foreign Staff Members With American Nonprofit,"The crackdown comes as Cambodia’s long-serving leader, Hun Sen, tries to solidify his grip on power before elections next year.",2017,cambodia
