,Headlines,Snippets,Year,Country
0,Kenya Court Upholds President’s Election Win,"Justices dismissed two petitions to overturn the victory last month by Uhuru Kenyatta, a decision that came after a weekend of unrest.",2017,kenya
1,"As Kenyatta is Inaugurated, Kenyans Are Feeling Economic Pain","Kenya’s protracted presidential election badly hit the economy, affecting people across the social spectrum.",2017,kenya
2,Kenya Holds 2nd Election in Nearly 3 Months,"The country went to the polls on Thursday, but scuffles broke out and the police fired tear gas at protesters in an area of Nairobi.",2017,kenya
3,"In Kenya, Election Rerun Challenges a Young Democracy","Many in the country are asking themselves how, after the national trauma of post-vote violence 10 years ago, they have ended up with a crisis yet again.",2017,kenya
4,Political Clashes in Kenya Leave Several Dead,"The opposition politician Raila Odinga returned from abroad, and his supporters fought with the police.",2017,kenya
5,One Cheer for Democracy in Kenya,"Kenya needs a transparent, credible and peaceful re-election. The world will be watching.",2017,kenya
6,Uhuru Kenyatta Is Declared Winner of Kenya’s Repeat Election,"Mr. Kenyatta also won a vote in August that was nullified by the Supreme Court, but the new balloting was met by confusion and mistrust.",2017,kenya
7,South Sudan Army Makes Push Against Rebels as Peace Talks Begin,"The army marched into the town of Lasu in the country’s southwest, capturing a rebel headquarters.",2017,kenya
8,Low Turnout in Kenya’s Do-Over Election Raises Concerns,"With so little participation, some fear that millions of Kenyans won’t accept the results.",2017,kenya
9,"Kenya Elections Marred by Clashes, Tear Gas and a Boycott","For the second time in nearly three months, Kenyans voted on Thursday. Protesters tried to block the balloting amid clashes with the police.",2017,kenya
10,Kenya Court Upholds President’s Election Win,"Justices dismissed two petitions to overturn the victory last month by Uhuru Kenyatta, a decision that came after a weekend of unrest.",2017,kenya
11,"As Kenyatta is Inaugurated, Kenyans Are Feeling Economic Pain","Kenya’s protracted presidential election badly hit the economy, affecting people across the social spectrum.",2017,kenya
12,Kenya Holds 2nd Election in Nearly 3 Months,"The country went to the polls on Thursday, but scuffles broke out and the police fired tear gas at protesters in an area of Nairobi.",2017,kenya
13,"In Kenya, Election Rerun Challenges a Young Democracy","Many in the country are asking themselves how, after the national trauma of post-vote violence 10 years ago, they have ended up with a crisis yet again.",2017,kenya
14,Political Clashes in Kenya Leave Several Dead,"The opposition politician Raila Odinga returned from abroad, and his supporters fought with the police.",2017,kenya
15,One Cheer for Democracy in Kenya,"Kenya needs a transparent, credible and peaceful re-election. The world will be watching.",2017,kenya
16,Uhuru Kenyatta Is Declared Winner of Kenya’s Repeat Election,"Mr. Kenyatta also won a vote in August that was nullified by the Supreme Court, but the new balloting was met by confusion and mistrust.",2017,kenya
17,South Sudan Army Makes Push Against Rebels as Peace Talks Begin,"The army marched into the town of Lasu in the country’s southwest, capturing a rebel headquarters.",2017,kenya
18,Low Turnout in Kenya’s Do-Over Election Raises Concerns,"With so little participation, some fear that millions of Kenyans won’t accept the results.",2017,kenya
19,"Kenya Elections Marred by Clashes, Tear Gas and a Boycott","For the second time in nearly three months, Kenyans voted on Thursday. Protesters tried to block the balloting amid clashes with the police.",2017,kenya
20,Kenya Court Upholds President’s Election Win,"Justices dismissed two petitions to overturn the victory last month by Uhuru Kenyatta, a decision that came after a weekend of unrest.",2017,kenya
21,"As Kenyatta is Inaugurated, Kenyans Are Feeling Economic Pain","Kenya’s protracted presidential election badly hit the economy, affecting people across the social spectrum.",2017,kenya
22,Kenya Holds 2nd Election in Nearly 3 Months,"The country went to the polls on Thursday, but scuffles broke out and the police fired tear gas at protesters in an area of Nairobi.",2017,kenya
23,"In Kenya, Election Rerun Challenges a Young Democracy","Many in the country are asking themselves how, after the national trauma of post-vote violence 10 years ago, they have ended up with a crisis yet again.",2017,kenya
24,Political Clashes in Kenya Leave Several Dead,"The opposition politician Raila Odinga returned from abroad, and his supporters fought with the police.",2017,kenya
25,One Cheer for Democracy in Kenya,"Kenya needs a transparent, credible and peaceful re-election. The world will be watching.",2017,kenya
26,Uhuru Kenyatta Is Declared Winner of Kenya’s Repeat Election,"Mr. Kenyatta also won a vote in August that was nullified by the Supreme Court, but the new balloting was met by confusion and mistrust.",2017,kenya
27,South Sudan Army Makes Push Against Rebels as Peace Talks Begin,"The army marched into the town of Lasu in the country’s southwest, capturing a rebel headquarters.",2017,kenya
28,Low Turnout in Kenya’s Do-Over Election Raises Concerns,"With so little participation, some fear that millions of Kenyans won’t accept the results.",2017,kenya
29,"Kenya Elections Marred by Clashes, Tear Gas and a Boycott","For the second time in nearly three months, Kenyans voted on Thursday. Protesters tried to block the balloting amid clashes with the police.",2017,kenya
30,Kenya Court Upholds President’s Election Win,"Justices dismissed two petitions to overturn the victory last month by Uhuru Kenyatta, a decision that came after a weekend of unrest.",2017,kenya
31,"As Kenyatta is Inaugurated, Kenyans Are Feeling Economic Pain","Kenya’s protracted presidential election badly hit the economy, affecting people across the social spectrum.",2017,kenya
32,Kenya Holds 2nd Election in Nearly 3 Months,"The country went to the polls on Thursday, but scuffles broke out and the police fired tear gas at protesters in an area of Nairobi.",2017,kenya
33,"In Kenya, Election Rerun Challenges a Young Democracy","Many in the country are asking themselves how, after the national trauma of post-vote violence 10 years ago, they have ended up with a crisis yet again.",2017,kenya
34,Political Clashes in Kenya Leave Several Dead,"The opposition politician Raila Odinga returned from abroad, and his supporters fought with the police.",2017,kenya
35,One Cheer for Democracy in Kenya,"Kenya needs a transparent, credible and peaceful re-election. The world will be watching.",2017,kenya
36,Uhuru Kenyatta Is Declared Winner of Kenya’s Repeat Election,"Mr. Kenyatta also won a vote in August that was nullified by the Supreme Court, but the new balloting was met by confusion and mistrust.",2017,kenya
37,South Sudan Army Makes Push Against Rebels as Peace Talks Begin,"The army marched into the town of Lasu in the country’s southwest, capturing a rebel headquarters.",2017,kenya
38,Low Turnout in Kenya’s Do-Over Election Raises Concerns,"With so little participation, some fear that millions of Kenyans won’t accept the results.",2017,kenya
39,"Kenya Elections Marred by Clashes, Tear Gas and a Boycott","For the second time in nearly three months, Kenyans voted on Thursday. Protesters tried to block the balloting amid clashes with the police.",2017,kenya
40,Kenya Court Upholds President’s Election Win,"Justices dismissed two petitions to overturn the victory last month by Uhuru Kenyatta, a decision that came after a weekend of unrest.",2017,kenya
41,"As Kenyatta is Inaugurated, Kenyans Are Feeling Economic Pain","Kenya’s protracted presidential election badly hit the economy, affecting people across the social spectrum.",2017,kenya
42,Kenya Holds 2nd Election in Nearly 3 Months,"The country went to the polls on Thursday, but scuffles broke out and the police fired tear gas at protesters in an area of Nairobi.",2017,kenya
43,"In Kenya, Election Rerun Challenges a Young Democracy","Many in the country are asking themselves how, after the national trauma of post-vote violence 10 years ago, they have ended up with a crisis yet again.",2017,kenya
44,Political Clashes in Kenya Leave Several Dead,"The opposition politician Raila Odinga returned from abroad, and his supporters fought with the police.",2017,kenya
45,One Cheer for Democracy in Kenya,"Kenya needs a transparent, credible and peaceful re-election. The world will be watching.",2017,kenya
46,Uhuru Kenyatta Is Declared Winner of Kenya’s Repeat Election,"Mr. Kenyatta also won a vote in August that was nullified by the Supreme Court, but the new balloting was met by confusion and mistrust.",2017,kenya
47,South Sudan Army Makes Push Against Rebels as Peace Talks Begin,"The army marched into the town of Lasu in the country’s southwest, capturing a rebel headquarters.",2017,kenya
48,Low Turnout in Kenya’s Do-Over Election Raises Concerns,"With so little participation, some fear that millions of Kenyans won’t accept the results.",2017,kenya
49,"Kenya Elections Marred by Clashes, Tear Gas and a Boycott","For the second time in nearly three months, Kenyans voted on Thursday. Protesters tried to block the balloting amid clashes with the police.",2017,kenya
