,Country,Snippets,class
0,norway,"A young indigenous Sami reindeer herder is suing the Norwegian government at the Supreme Court, with a little help from his sister — and her hundreds of bullet-ridden reindeer skulls.",happy
1,norway,Charming villages. Inventive meals. A gorgeous glacier to hike. What’s not to like? (That rain was pretty loud.),happy
2,norway,"Animal advocacy groups urge speed limits, new fencing and digital tracking to prevent more accidents.",happy
3,norway,New rules to combat sea lice have angered Norway’s important aquaculture industry. But environmental groups want to go much further.,happy
4,norway,"The politician, Carl I. Hagen, opposes immigration and Islam, denies climate change and supports President Trump.",happy
5,norway,"A writer finds emotional solace on some of Norway’s scenic remote roads, which have been transformed into architectural wonders.",happy
6,norway,"The move signals that the country, Europe’s top producer, does not have full confidence in oil’s future.",happy
7,norway,"The herder, from the indigenous Sami community, had challenged a government order in a case that had drawn wide attention.",happy
8,norway,"Berries clothe seeds and fertilize them when they drop to the ground, and one summer they taught a young woman to savor time.",happy
9,norway,"A race that was close in opinion polls, the election was viewed as a referendum on taxes, immigration, energy policy and European integration.",happy
10,norway,"A young indigenous Sami reindeer herder is suing the Norwegian government at the Supreme Court, with a little help from his sister — and her hundreds of bullet-ridden reindeer skulls.",happy
11,norway,Charming villages. Inventive meals. A gorgeous glacier to hike. What’s not to like? (That rain was pretty loud.),happy
12,norway,"Animal advocacy groups urge speed limits, new fencing and digital tracking to prevent more accidents.",happy
13,norway,New rules to combat sea lice have angered Norway’s important aquaculture industry. But environmental groups want to go much further.,happy
14,norway,"The politician, Carl I. Hagen, opposes immigration and Islam, denies climate change and supports President Trump.",happy
15,norway,"A writer finds emotional solace on some of Norway’s scenic remote roads, which have been transformed into architectural wonders.",happy
16,norway,"The move signals that the country, Europe’s top producer, does not have full confidence in oil’s future.",happy
17,norway,"The herder, from the indigenous Sami community, had challenged a government order in a case that had drawn wide attention.",happy
18,norway,"Berries clothe seeds and fertilize them when they drop to the ground, and one summer they taught a young woman to savor time.",happy
19,norway,"A race that was close in opinion polls, the election was viewed as a referendum on taxes, immigration, energy policy and European integration.",happy
20,norway,"A young indigenous Sami reindeer herder is suing the Norwegian government at the Supreme Court, with a little help from his sister — and her hundreds of bullet-ridden reindeer skulls.",happy
21,norway,Charming villages. Inventive meals. A gorgeous glacier to hike. What’s not to like? (That rain was pretty loud.),happy
22,norway,"Animal advocacy groups urge speed limits, new fencing and digital tracking to prevent more accidents.",happy
23,norway,New rules to combat sea lice have angered Norway’s important aquaculture industry. But environmental groups want to go much further.,happy
24,norway,"The politician, Carl I. Hagen, opposes immigration and Islam, denies climate change and supports President Trump.",happy
25,norway,"A writer finds emotional solace on some of Norway’s scenic remote roads, which have been transformed into architectural wonders.",happy
26,norway,"The move signals that the country, Europe’s top producer, does not have full confidence in oil’s future.",happy
27,norway,"The herder, from the indigenous Sami community, had challenged a government order in a case that had drawn wide attention.",happy
28,norway,"Berries clothe seeds and fertilize them when they drop to the ground, and one summer they taught a young woman to savor time.",happy
29,norway,"A race that was close in opinion polls, the election was viewed as a referendum on taxes, immigration, energy policy and European integration.",happy
30,norway,"A young indigenous Sami reindeer herder is suing the Norwegian government at the Supreme Court, with a little help from his sister — and her hundreds of bullet-ridden reindeer skulls.",happy
31,norway,Charming villages. Inventive meals. A gorgeous glacier to hike. What’s not to like? (That rain was pretty loud.),happy
32,norway,"Animal advocacy groups urge speed limits, new fencing and digital tracking to prevent more accidents.",happy
33,norway,New rules to combat sea lice have angered Norway’s important aquaculture industry. But environmental groups want to go much further.,happy
34,norway,"The politician, Carl I. Hagen, opposes immigration and Islam, denies climate change and supports President Trump.",happy
35,norway,"A writer finds emotional solace on some of Norway’s scenic remote roads, which have been transformed into architectural wonders.",happy
36,norway,"The move signals that the country, Europe’s top producer, does not have full confidence in oil’s future.",happy
37,norway,"The herder, from the indigenous Sami community, had challenged a government order in a case that had drawn wide attention.",happy
38,norway,"Berries clothe seeds and fertilize them when they drop to the ground, and one summer they taught a young woman to savor time.",happy
39,norway,"A race that was close in opinion polls, the election was viewed as a referendum on taxes, immigration, energy policy and European integration.",happy
40,norway,"A young indigenous Sami reindeer herder is suing the Norwegian government at the Supreme Court, with a little help from his sister — and her hundreds of bullet-ridden reindeer skulls.",happy
41,norway,Charming villages. Inventive meals. A gorgeous glacier to hike. What’s not to like? (That rain was pretty loud.),happy
42,norway,"Animal advocacy groups urge speed limits, new fencing and digital tracking to prevent more accidents.",happy
43,norway,New rules to combat sea lice have angered Norway’s important aquaculture industry. But environmental groups want to go much further.,happy
44,norway,"The politician, Carl I. Hagen, opposes immigration and Islam, denies climate change and supports President Trump.",happy
45,norway,"A writer finds emotional solace on some of Norway’s scenic remote roads, which have been transformed into architectural wonders.",happy
46,norway,"The move signals that the country, Europe’s top producer, does not have full confidence in oil’s future.",happy
47,norway,"The herder, from the indigenous Sami community, had challenged a government order in a case that had drawn wide attention.",happy
48,norway,"Berries clothe seeds and fertilize them when they drop to the ground, and one summer they taught a young woman to savor time.",happy
49,norway,"A race that was close in opinion polls, the election was viewed as a referendum on taxes, immigration, energy policy and European integration.",happy
0,burundi,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",unhappy
1,burundi,"The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",unhappy
2,burundi,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,unhappy
3,burundi,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,unhappy
4,burundi,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",unhappy
5,burundi,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",unhappy
6,burundi,"It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",unhappy
7,burundi,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",unhappy
8,burundi,A weekly collection of news and analysis about and relevant to Canada.,unhappy
9,burundi,Women in Burundi demand a seat at the table.,unhappy
10,burundi,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",unhappy
11,burundi,"The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",unhappy
12,burundi,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,unhappy
13,burundi,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,unhappy
14,burundi,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",unhappy
15,burundi,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",unhappy
16,burundi,"It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",unhappy
17,burundi,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",unhappy
18,burundi,A weekly collection of news and analysis about and relevant to Canada.,unhappy
19,burundi,Women in Burundi demand a seat at the table.,unhappy
20,burundi,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",unhappy
21,burundi,"The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",unhappy
22,burundi,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,unhappy
23,burundi,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,unhappy
24,burundi,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",unhappy
25,burundi,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",unhappy
26,burundi,"It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",unhappy
27,burundi,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",unhappy
28,burundi,A weekly collection of news and analysis about and relevant to Canada.,unhappy
29,burundi,Women in Burundi demand a seat at the table.,unhappy
30,burundi,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",unhappy
31,burundi,"The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",unhappy
32,burundi,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,unhappy
33,burundi,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,unhappy
34,burundi,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",unhappy
35,burundi,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",unhappy
36,burundi,"It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",unhappy
37,burundi,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",unhappy
38,burundi,A weekly collection of news and analysis about and relevant to Canada.,unhappy
39,burundi,Women in Burundi demand a seat at the table.,unhappy
40,burundi,"It became the first country to withdraw, a month after a U.N. commission called for a criminal inquiry that might lead by to Burundi’s leaders.",unhappy
41,burundi,"The International Criminal Court opened a criminal investigation into state-sponsored violence, two weeks after the African nation exited the court.",unhappy
42,burundi,A panel of investigators set up by the agency’s Human Rights Council said it had delivered a list of suspects to the United Nations High Commissioner for human rights.,unhappy
43,burundi,The police say foul play is not suspected in the disappearance of six students from the violence-plagued country. Two were reported seen in Canada.,unhappy
44,burundi,"The environment minister, Emmanuel Niyonkuru, was killed in the first hour of the new year, an act that could exacerbate a nearly two-year political crisis.",unhappy
45,burundi,"“Love the stranger,” says the Torah. So a rabbi’s husband created a $500,000 award for the “superheroes” who provide medical care in Africa.",unhappy
46,burundi,"It is the final stop in their desperate journey to escape the summary executions, assassinations and torture racking the tiny central African nation.",unhappy
47,burundi,"The Burundians had fled political violence at home but died in a clash with soldiers, according to the U.N. and a civil society group in Congo.",unhappy
48,burundi,A weekly collection of news and analysis about and relevant to Canada.,unhappy
49,burundi,Women in Burundi demand a seat at the table.,unhappy
0,denmark,"This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",happy
1,denmark,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,happy
2,denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,happy
3,denmark,"The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",happy
4,denmark,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",happy
5,denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,happy
6,denmark,"Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",happy
7,denmark,"Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",happy
8,denmark,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,happy
9,denmark,"A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",happy
10,denmark,"This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",happy
11,denmark,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,happy
12,denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,happy
13,denmark,"The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",happy
14,denmark,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",happy
15,denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,happy
16,denmark,"Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",happy
17,denmark,"Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",happy
18,denmark,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,happy
19,denmark,"A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",happy
20,denmark,"This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",happy
21,denmark,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,happy
22,denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,happy
23,denmark,"The latest Lego attraction in Billund, the company’s headquarters, offers a collection of creative zones for children and grown-ups — as well as the world’s first Lego restaurant.",happy
24,denmark,"Unhappy with the title of prince consort, which he considers a mark of gender inequality, the Danish royal says he doesn’t want to be buried beside his wife, the queen.",happy
25,denmark,Free speech advocacy has become a cover for anti-Muslim nationalism.,happy
26,denmark,"Women using birth control pills and I.U.D.s that release hormones face a higher risk than those using methods without hormones, scientists in Denmark reported.",happy
27,denmark,"Inger Stolberg, the country’s integration minister, celebrated the 50th regulation against immigration, spurring a public outcry — and praise.",happy
28,denmark,The Kremlin denied the allegations that Russian hackers breached email accounts at Denmark’s Defense Ministry and Foreign Ministry in 2015 and 2016.,happy
29,denmark,"A woman with dementia has been ordered to leave her family and return to her native country, reflecting Europe’s growing anti-immigrant sentiment.",happy
30,denmark,"This small and scholarly college town is brimming with discoveries, from astounding artwork to cozy restaurants and excellent craft beer.",happy
31,denmark,The episode has drawn attention to a new state law that has angered bar owners and patrons by requiring that identification cards be scanned to gain entry.,happy
32,denmark,Andrew Scott’s portrayal in a London production of “Hamlet” almost banishes other performances from memory.,happy
